Advertiser ID,Advertiser Name,Primary Region,Membership Status,Datafeed Format,Feed ID,Feed Name,Language,Vertical,Last Imported,Last Checked,No of products,URL
"116773","Botanical Green Lab","US","Not Joined","Enhanced","F272","","English","Retail","2026-01-20 10:43:11","2026-01-20 10:43:11","86","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F272.csv.gz"
"116785","BASE-K","US","Not Joined","Enhanced","F291","","English","Retail","2026-01-20 07:01:50","2026-01-20 07:01:50","10","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F291.csv.gz"
"19475","Fila UK","GB","Not Joined","Enhanced","F295","","English","Retail","2026-01-20 07:05:24","2026-01-20 07:05:24","16884","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F295.csv.gz"
"117119","kemoway","FR","Not Joined","Enhanced","F306","","French","Retail","2026-01-20 10:47:31","2026-01-20 10:47:31","25","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F306.csv.gz"
"117121","kemoway","DE","Not Joined","Enhanced","F307","","German","Retail","2026-01-20 08:17:10","2026-01-20 08:17:10","119","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F307.csv.gz"
"62729","Glamory","DE","Not Joined","Enhanced","F309","","German","Retail","2026-01-20 10:49:45","2026-01-20 10:49:45","4","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F309.csv.gz"
"116307","GroundingTime","US","Not Joined","Enhanced","F312","","English","Retail","2025-07-29 02:53:19","2025-07-29 02:53:19","10","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F312.csv.gz"
"117221","MakeID","US","Not Joined","Enhanced","F329","","English","Retail","2026-01-20 07:12:22","2026-01-20 07:12:22","27","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F329.csv.gz"
"117191","ChaLendar","US","Not Joined","Enhanced","F330","","English","Retail","2026-01-20 10:41:14","2026-01-20 10:41:14","12","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F330.csv.gz"
"117395","Marketing program","US","Not Joined","Enhanced","F349","","English","Retail","2026-01-20 10:54:37","2026-01-20 10:54:37","10","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F349.csv.gz"
"117317","NeuroScent","GB","Not Joined","Enhanced","F382","","English","Retail","2026-01-20 07:01:07","2026-01-20 07:01:07","33","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F382.csv.gz"
"98651","FLOURISH","GB","Not Joined","Enhanced","F407","","English","Retail","2026-01-20 10:52:46","2026-01-20 10:52:46","9","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F407.csv.gz"
"117477","buybeautykorea","US","Not Joined","Enhanced","F432","","English","Retail","2026-01-20 07:10:22","2026-01-20 07:10:22","4083","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F432.csv.gz"
"113418","Belord","US","Not Joined","Enhanced","F434","","English","Retail","2025-12-15 03:01:44","2025-12-15 03:01:44","1127","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F434.csv.gz"
"37282","Game Over","GB","Not Joined","Enhanced","F441","","English","Retail","2026-01-20 10:44:25","2026-01-20 10:44:25","144","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F441.csv.gz"
"37292","Gardenista","GB","Not Joined","Enhanced","F444","","English","Retail","2026-01-20 11:02:10","2026-01-20 11:02:10","389","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F444.csv.gz"
"117671","No.98 Beauty","GB","Not Joined","Enhanced","F453","","English","Retail","2026-01-20 11:02:53","2026-01-20 11:02:53","14","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F453.csv.gz"
"117801","UUNA TEK Affliate Program","US","Not Joined","Enhanced","F457","","English","Retail","2026-01-20 10:57:28","2026-01-20 10:57:28","30","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F457.csv.gz"
"117741","Finitex","US","Not Joined","Enhanced","F472","","English","Retail","2026-01-20 10:43:24","2026-01-20 10:43:24","354","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F472.csv.gz"
"117849","ZazzMode","US","Not Joined","Enhanced","F473","","English","Retail","2026-01-20 07:15:23","2026-01-20 07:15:23","911","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F473.csv.gz"
"117899","The Brush & Broom","GB","Not Joined","Enhanced","F477","","English","Retail","2026-01-20 06:54:44","2026-01-20 06:54:44","202","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F477.csv.gz"
"117777","Sunshare","DE","Not Joined","Enhanced","F481","","German","Retail","2026-01-20 06:47:44","2026-01-20 06:47:44","309","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F481.csv.gz"
"117633","shopify","US","Not Joined","Enhanced","F489","","English","Retail","2026-01-06 23:19:47","2026-01-06 23:19:47","19","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F489.csv.gz"
"24617","Raw Beauty Lab","GB","Not Joined","Enhanced","F493","","English","Retail","2026-01-20 10:42:13","2026-01-20 10:42:13","23","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F493.csv.gz"
"117115","Mossroam","US","Not Joined","Enhanced","F495","","English","Retail","2025-07-17 22:45:27","2025-07-17 22:45:27","90","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F495.csv.gz"
"30461","Parfümerie Brückner DE","DE","Not Joined","Enhanced","F498","","German","Retail","2026-01-20 11:00:16","2026-01-20 11:00:16","6398","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F498.csv.gz"
"28367","So Divine","GB","Not Joined","Enhanced","F507","","English","Retail","2026-01-20 10:42:14","2026-01-20 10:42:14","79","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F507.csv.gz"
"27399","Elegant Lighting UK","GB","Not Joined","Enhanced","F511","","English","Retail","2026-01-20 07:09:11","2026-01-20 07:09:11","3910","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F511.csv.gz"
"66586","Bad Shirt Club","GB","Not Joined","Enhanced","F513","","English","Retail","2026-01-20 10:56:35","2026-01-20 10:56:35","1460","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F513.csv.gz"
"899","Fitness Options","GB","Not Joined","Enhanced","F528","","English","Retail","2026-01-20 10:57:14","2026-01-20 10:57:14","94","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F528.csv.gz"
"118063","Araco Interiors","GB","Not Joined","Enhanced","F534","","English","Retail","2026-01-20 07:28:13","2026-01-20 07:28:13","6388","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F534.csv.gz"
"106891","PrimeGarden DE","DE","Not Joined","Enhanced","F540","","German","Retail","2025-10-27 22:43:28","2025-10-27 22:43:28","923","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F540.csv.gz"
"118271","Framed Works","GB","Not Joined","Enhanced","F590","","English","Retail","2026-01-20 11:05:39","2026-01-20 11:05:39","19580","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F590.csv.gz"
"118079","Baby Shusher","US","Not Joined","Enhanced","F593","","English","Retail","2025-10-08 11:00:41","2025-10-08 11:00:41","21","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F593.csv.gz"
"115943","Normanwalsh","GB","Not Joined","Enhanced","F601","","English","Retail","2026-01-20 07:27:56","2026-01-20 07:27:56","1637","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F601.csv.gz"
"57285","garden sanctuary.","TR","Not Joined","Enhanced","F620","","English","Retail","2025-08-27 22:46:00","2025-08-27 22:46:00","37","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F620.csv.gz"
"118139","hansmaker Affiliate Program","US","Not Joined","Enhanced","F625","","English","Retail","2026-01-20 11:02:11","2026-01-20 11:02:11","29","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F625.csv.gz"
"75796","Afewvibe LTD","US","Not Joined","Enhanced","F689","","English","Retail","2026-01-20 10:51:58","2026-01-20 10:51:58","2326","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F689.csv.gz"
"116843","StepMotech","GB","Not Joined","Enhanced","F752","","English","Retail","2025-07-31 06:21:07","2025-07-31 06:21:07","1","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F752.csv.gz"
"30077","Lu Bella Jewellery","GB","Not Joined","Enhanced","F754","","English","Retail","2026-01-20 10:55:35","2026-01-20 10:55:35","376","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F754.csv.gz"
"17453","goettgen.de - Das grosse Schmuck und Uhrenportal","DE","Not Joined","Enhanced","F759","","German","Retail","2026-01-20 07:23:45","2026-01-20 07:23:45","17658","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F759.csv.gz"
"117947","Nashira Arno Studio","US","Not Joined","Enhanced","F822","","English","Retail","2026-01-20 07:19:31","2026-01-20 07:19:31","130","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F822.csv.gz"
"96145","HCK REFRIGERATOR HI-TECH COMPANY LIMITED","DE","Not Joined","Enhanced","F832","","German","Retail","2026-01-20 07:34:14","2026-01-20 07:34:14","13","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F832.csv.gz"
"118551","OLAOLA","US","Not Joined","Enhanced","F835","","English","Retail","2026-01-20 07:03:52","2026-01-20 07:03:52","572","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F835.csv.gz"
"105955","EPD UK","GB","Not Joined","Enhanced","F861","","English","Retail","2026-01-20 07:10:23","2026-01-20 07:10:23","19209","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F861.csv.gz"
"118867","Nura Lyfe Promotion","US","Not Joined","Enhanced","F899","","English","Retail","2025-12-12 23:06:36","2025-12-12 23:06:36","7","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F899.csv.gz"
"87175","Beyond Memories","US","Not Joined","Enhanced","F918","","English","Retail","2026-01-20 07:37:30","2026-01-20 07:37:30","953","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F918.csv.gz"
"118511","Yeamon Beauty","US","Not Joined","Enhanced","F932","","English","Retail","2026-01-20 11:01:47","2026-01-20 11:01:47","6","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F932.csv.gz"
"114444","Earkings NL","NL","Not Joined","Enhanced","F951","","Dutch","Retail","2026-01-20 06:52:54","2026-01-20 06:52:54","149","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F951.csv.gz"
"107998","Cheap Furniture Warehouse","GB","Not Joined","Enhanced","F970","","English","Retail","2026-01-20 11:05:08","2026-01-20 11:05:08","1994","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F970.csv.gz"
"51893","Watch Home Awin First","GB","Not Joined","Enhanced","F983","","English","Retail","2026-01-20 11:03:35","2026-01-20 11:03:35","1245","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F983.csv.gz"
"114046","Cerqular","US","Not Joined","Enhanced","F1028","","English","Retail","2026-01-20 07:44:18","2026-01-20 07:44:18","204761","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1028.csv.gz"
"119193","Mantra Flow","US","Not Joined","Enhanced","F1063","","English","Retail","2026-01-20 07:08:03","2026-01-20 07:08:03","73","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1063.csv.gz"
"119241","NearStream Affiliate Program","US","Not Joined","Enhanced","F1071","","English","Retail","2026-01-20 11:05:13","2026-01-20 11:05:13","41","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1071.csv.gz"
"119297","RaysDanc home use IPL laser hair remover","US","Not Joined","Enhanced","F1130","","English","Retail","2026-01-20 10:45:14","2026-01-20 10:45:14","5","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1130.csv.gz"
"119395","Fosi Audio","US","Not Joined","Enhanced","F1133","","English","Retail","2026-01-20 11:05:31","2026-01-20 11:05:31","243","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1133.csv.gz"
"119467","Sunshine Society (US)","US","Not Joined","Enhanced","F1159","","English","Retail","2026-01-20 10:54:33","2026-01-20 10:54:33","155","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1159.csv.gz"
"119365","Elenker","US","Not Joined","Enhanced","F1180","","English","Retail","2026-01-20 06:52:07","2026-01-20 06:52:07","285","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1180.csv.gz"
"119037","Atelier De Glow","GB","Not Joined","Enhanced","F1207","","English","Retail","2026-01-20 07:20:37","2026-01-20 07:20:37","631","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1207.csv.gz"
"119345","RumbleBox","DE","Not Joined","Enhanced","F1219","","German","Retail","2026-01-20 10:52:03","2026-01-20 10:52:03","28","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1219.csv.gz"
"119387","NorthSky Supply","US","Not Joined","Enhanced","F1259","","English","Retail","2026-01-20 10:53:33","2026-01-20 10:53:33","944","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1259.csv.gz"
"119833","Jaspacks","GB","Not Joined","Enhanced","F1295","","English","Retail","2026-01-20 10:49:17","2026-01-20 10:49:17","6","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1295.csv.gz"
"119761","Yeloly","US","Not Joined","Enhanced","F1303","","English","Retail","2026-01-20 06:48:13","2026-01-20 06:48:13","85","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1303.csv.gz"
"119513","Edify","US","Not Joined","Enhanced","F1318","","English","Retail","2026-01-20 07:46:55","2026-01-20 07:46:55","29","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1318.csv.gz"
"119369","The BitJoy eSIM (US)","US","Not Joined","Enhanced","F1335","","English","Retail","2026-01-20 10:57:45","2026-01-20 10:57:45","2570","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1335.csv.gz"
"119813","Will & Bear","AU","Not Joined","Enhanced","F1339","","English","Retail","2026-01-20 10:52:41","2026-01-20 10:52:41","344","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1339.csv.gz"
"119703","Vatrer","US","Not Joined","Enhanced","F1341","","English","Retail","2026-01-20 10:46:42","2026-01-20 10:46:42","304","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1341.csv.gz"
"112976","Brisks Outdoors","GB","Not Joined","Enhanced","F1345","","English","Retail","2026-01-20 10:42:50","2026-01-20 10:42:50","1418","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1345.csv.gz"
"70402","Thesupermade Inc","US","Not Joined","Enhanced","F1352","","English","Retail","2026-01-20 07:28:38","2026-01-20 07:28:38","10058","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1352.csv.gz"
"66912","Beyond Shakers","GB","Not Joined","Enhanced","F1355","","English","Retail","2026-01-20 10:46:10","2026-01-20 10:46:10","66","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1355.csv.gz"
"45747","Craft Buddy Shop","GB","Not Joined","Enhanced","F1356","","English","Retail","2026-01-20 07:52:28","2026-01-20 07:52:28","1327","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1356.csv.gz"
"67434","Car Audio Centre","GB","Not Joined","Enhanced","F1406","","English","Retail","2026-01-20 07:13:31","2026-01-20 07:13:31","6579","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1406.csv.gz"
"119879","Lancer Camera Backpack","US","Not Joined","Enhanced","F1413","","English","Retail","2026-01-20 11:00:48","2026-01-20 11:00:48","30","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1413.csv.gz"
"120193","Twist","US","Not Joined","Enhanced","F1424","","English","Retail","2026-01-20 07:03:06","2026-01-20 07:03:06","140","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1424.csv.gz"
"120283","ShantiMat","DE","Not Joined","Enhanced","F1452","","English","Retail","2026-01-20 11:02:41","2026-01-20 11:02:41","83","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1452.csv.gz"
"120253","SolarVoxGreen","GB","Not Joined","Enhanced","F1478","","English","Retail","2026-01-20 07:02:19","2026-01-20 07:02:19","71","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1478.csv.gz"
"120341","Ahipos Horses","DE","Not Joined","Enhanced","F1484","","German","Retail","2025-12-24 06:56:32","2025-12-24 06:56:32","19","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1484.csv.gz"
"119683","Blooh","US","Not Joined","Enhanced","F1517","","English","Retail","2026-01-20 07:37:43","2026-01-20 07:37:43","167","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1517.csv.gz"
"31213","Lir Pharmacy","IE","Not Joined","Enhanced","F1519","","English","Retail","2026-01-20 07:12:58","2026-01-20 07:12:58","2618","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1519.csv.gz"
"119599","Flava Car Scents","GB","Not Joined","Enhanced","F1571","","English","Retail","2026-01-20 10:42:02","2026-01-20 10:42:02","94","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1571.csv.gz"
"120587","Barlovento de Biar","ES","Not Joined","Enhanced","F1580","","Spanish","Retail","2026-01-20 07:06:35","2026-01-20 07:06:35","911","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1580.csv.gz"
"120213","Flooring Monster","GB","Not Joined","Enhanced","F1583","","English","Retail","2025-10-06 15:06:38","2025-10-06 15:06:38","865","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1583.csv.gz"
"117883","Max Recovery Clothing","US","Not Joined","Enhanced","F1587","","English","Retail","2026-01-20 07:12:04","2026-01-20 07:12:04","4","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1587.csv.gz"
"119601","ViralCleaning DE","DE","Not Joined","Enhanced","F1589","","German","Retail","2026-01-20 07:08:16","2026-01-20 07:08:16","403","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1589.csv.gz"
"120087","Pelios Kaminshop","DE","Not Joined","Enhanced","F1593","","German","Retail","2026-01-20 10:52:48","2026-01-20 10:52:48","38","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1593.csv.gz"
"120639","The only Real Truffle Line in the World","US","Not Joined","Enhanced","F1595","","English","Retail","2026-01-20 06:56:11","2026-01-20 06:56:11","19","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1595.csv.gz"
"119757","Wellshave","NL","Not Joined","Enhanced","F1611","","Dutch","Retail","2026-01-20 07:18:23","2026-01-20 07:18:23","40","https://ui.awin.com/productdata-darwin-download/publisher/2674098/4a1da3553e2a11af20515fb21a454008/1/feed/F1611.csv.gz"
